,Type,Date,Ticker,Position,Price,PnL,ROE,Trade_Length,Cumm,DD
356,BUY ORDER,13-01-2017,MICR.BO,1,47.0,,,,,
357,BUY ORDER,16-01-2017,MICR.BO,1,47.0,,,,,
358,BUY ORDER,17-01-2017,MICR.BO,1,47.0,,,,,
359,BUY ORDER,18-01-2017,MICR.BO,1,47.0,,,,,
360,BUY ORDER,19-01-2017,MICR.BO,1,47.0,,,,,
361,BUY ORDER,20-01-2017,MICR.BO,1,47.0,,,,,
362,BUY ORDER,23-01-2017,MICR.BO,1,47.0,,,,,
363,BUY ORDER,24-01-2017,MICR.BO,1,47.0,,,,,
364,BUY ORDER,25-01-2017,MICR.BO,1,47.0,,,,,
365,BUY ORDER,27-01-2017,MICR.BO,1,47.0,,,,,
366,BUY ORDER,30-01-2017,MICR.BO,1,47.0,,,,,
367,BUY ORDER,31-01-2017,MICR.BO,1,47.0,,,,,
368,BUY ORDER,01-02-2017,MICR.BO,1,47.0,,,,,
369,BUY ORDER,02-02-2017,MICR.BO,1,47.0,,,,,
370,BUY ORDER,03-02-2017,MICR.BO,1,47.0,,,,,
371,BUY ORDER,06-02-2017,MICR.BO,1,47.0,,,,,
372,BUY ORDER,07-02-2017,MICR.BO,1,47.0,,,,,
373,BUY ORDER,08-02-2017,MICR.BO,1,47.0,,,,,
374,BUY ORDER,09-02-2017,MICR.BO,1,43.6,,,,,
375,BUY ORDER,10-02-2017,MICR.BO,1,43.6,,,,,
376,BUY ORDER,13-02-2017,MICR.BO,1,43.6,,,,,
377,BUY ORDER,14-02-2017,MICR.BO,1,43.6,,,,,
378,BUY ORDER,15-02-2017,MICR.BO,1,43.6,,,,,
379,BUY ORDER,16-02-2017,MICR.BO,1,43.6,,,,,
380,BUY ORDER,17-02-2017,MICR.BO,1,43.6,,,,,
381,BUY ORDER,20-02-2017,MICR.BO,1,43.6,,,,,
382,BUY ORDER,21-02-2017,MICR.BO,1,43.6,,,,,
383,BUY ORDER,22-02-2017,MICR.BO,1,43.6,,,,,
384,BUY ORDER,23-02-2017,MICR.BO,1,43.6,,,,,
385,BUY ORDER,27-02-2017,MICR.BO,1,43.6,,,,,
386,BUY ORDER,28-02-2017,MICR.BO,1,43.6,,,,,
387,BUY ORDER,01-03-2017,MICR.BO,1,43.6,,,,,
388,BUY ORDER,02-03-2017,MICR.BO,1,43.6,,,,,
389,BUY ORDER,03-03-2017,MICR.BO,1,43.6,,,,,
390,BUY ORDER,06-03-2017,MICR.BO,1,43.6,,,,,
391,BUY ORDER,07-03-2017,MICR.BO,1,43.6,,,,,
392,BUY ORDER,08-03-2017,MICR.BO,1,43.6,,,,,
393,BUY ORDER,09-03-2017,MICR.BO,1,43.6,,,,,
394,BUY ORDER,10-03-2017,MICR.BO,1,43.6,,,,,
395,BUY ORDER,14-03-2017,MICR.BO,1,43.6,,,,,
396,BUY ORDER,15-03-2017,MICR.BO,1,43.6,,,,,
397,BUY ORDER,16-03-2017,MICR.BO,1,43.6,,,,,
398,BUY ORDER,17-03-2017,MICR.BO,1,43.6,,,,,
399,BUY ORDER,20-03-2017,MICR.BO,1,43.6,,,,,
400,BUY ORDER,21-03-2017,MICR.BO,1,43.6,,,,,
401,BUY ORDER,22-03-2017,MICR.BO,1,43.6,,,,,
402,BUY ORDER,23-03-2017,MICR.BO,1,43.6,,,,,
403,BUY ORDER,24-03-2017,MICR.BO,1,43.6,,,,,
404,BUY ORDER,27-03-2017,MICR.BO,1,43.6,,,,,
405,BUY ORDER,28-03-2017,MICR.BO,1,43.6,,,,,
406,BUY ORDER,29-03-2017,MICR.BO,1,43.6,,,,,
407,BUY ORDER,30-03-2017,MICR.BO,1,43.6,,,,,
408,BUY ORDER,31-03-2017,MICR.BO,1,43.6,,,,,
409,BUY ORDER,03-04-2017,MICR.BO,1,43.6,,,,,
410,BUY ORDER,05-04-2017,MICR.BO,1,43.6,,,,,
411,BUY ORDER,06-04-2017,MICR.BO,1,43.6,,,,,
412,BUY ORDER,07-04-2017,MICR.BO,1,43.6,,,,,
413,BUY ORDER,10-04-2017,MICR.BO,1,43.6,,,,,
414,BUY ORDER,11-04-2017,MICR.BO,1,43.6,,,,,
415,BUY ORDER,12-04-2017,MICR.BO,1,43.6,,,,,
416,BUY TRADE,13-04-2017,MICR.BO,1,43.6,,,,,
417,SELL ORDER,13-04-2017,MICR.BO,-1,34.45,,,,,
418,SELL ORDER,17-04-2017,MICR.BO,-1,34.45,,,,,
419,SELL ORDER,18-04-2017,MICR.BO,-1,34.45,,,,,
420,SELL ORDER,19-04-2017,MICR.BO,-1,34.45,,,,,
421,SELL ORDER,20-04-2017,MICR.BO,-1,34.45,,,,,
422,SELL ORDER,21-04-2017,MICR.BO,-1,34.45,,,,,
423,SELL ORDER,24-04-2017,MICR.BO,-1,34.45,,,,,
424,SELL ORDER,25-04-2017,MICR.BO,-1,34.45,,,,,
425,SELL ORDER,26-04-2017,MICR.BO,-1,34.45,,,,,
426,SELL ORDER,27-04-2017,MICR.BO,-1,34.45,,,,,
427,SELL ORDER,28-04-2017,MICR.BO,-1,34.45,,,,,
428,SELL ORDER,02-05-2017,MICR.BO,-1,34.45,,,,,
429,SELL ORDER,03-05-2017,MICR.BO,-1,34.45,,,,,
430,SELL ORDER,04-05-2017,MICR.BO,-1,34.45,,,,,
431,SELL ORDER,05-05-2017,MICR.BO,-1,34.45,,,,,
432,SELL ORDER,08-05-2017,MICR.BO,-1,34.45,,,,,
433,SELL ORDER,09-05-2017,MICR.BO,-1,34.45,,,,,
434,SELL ORDER,10-05-2017,MICR.BO,-1,34.45,,,,,
435,SELL ORDER,11-05-2017,MICR.BO,-1,34.45,,,,,
436,SELL ORDER,12-05-2017,MICR.BO,-1,34.45,,,,,
437,SELL ORDER,15-05-2017,MICR.BO,-1,34.45,,,,,
438,SELL ORDER,16-05-2017,MICR.BO,-1,34.45,,,,,
439,SELL ORDER,17-05-2017,MICR.BO,-1,34.45,,,,,
440,SELL ORDER,18-05-2017,MICR.BO,-1,34.45,,,,,
441,SELL ORDER,19-05-2017,MICR.BO,-1,34.45,,,,,
442,SELL ORDER,22-05-2017,MICR.BO,-1,34.45,,,,,
443,SELL ORDER,23-05-2017,MICR.BO,-1,34.45,,,,,
444,SELL ORDER,24-05-2017,MICR.BO,-1,34.45,,,,,
445,SELL ORDER,25-05-2017,MICR.BO,-1,34.45,,,,,
446,SELL ORDER,26-05-2017,MICR.BO,-1,34.45,,,,,
447,SELL ORDER,29-05-2017,MICR.BO,-1,34.45,,,,,
448,SELL ORDER,30-05-2017,MICR.BO,-1,34.45,,,,,
449,SELL ORDER,31-05-2017,MICR.BO,-1,34.45,,,,,
450,SELL ORDER,01-06-2017,MICR.BO,-1,34.45,,,,,
451,SELL ORDER,02-06-2017,MICR.BO,-1,34.45,,,,,
452,SELL ORDER,05-06-2017,MICR.BO,-1,36.0,,,,,
453,SELL ORDER,06-06-2017,MICR.BO,-1,36.0,,,,,
454,SELL ORDER,07-06-2017,MICR.BO,-1,36.0,,,,,
455,SELL ORDER,08-06-2017,MICR.BO,-1,36.0,,,,,
456,SELL ORDER,09-06-2017,MICR.BO,-1,36.0,,,,,
457,SELL ORDER,12-06-2017,MICR.BO,-1,36.0,,,,,
458,SELL ORDER,13-06-2017,MICR.BO,-1,36.0,,,,,
459,SELL ORDER,14-06-2017,MICR.BO,-1,36.0,,,,,
460,SELL ORDER,15-06-2017,MICR.BO,-1,36.0,,,,,
461,SELL ORDER,16-06-2017,MICR.BO,-1,36.0,,,,,
462,SELL ORDER,19-06-2017,MICR.BO,-1,36.0,,,,,
463,SELL ORDER,20-06-2017,MICR.BO,-1,36.0,,,,,
464,SELL ORDER,21-06-2017,MICR.BO,-1,36.0,,,,,
465,SELL ORDER,22-06-2017,MICR.BO,-1,36.0,,,,,
466,SELL ORDER,23-06-2017,MICR.BO,-1,36.0,,,,,
467,SELL ORDER,27-06-2017,MICR.BO,-1,36.0,,,,,
468,SELL ORDER,28-06-2017,MICR.BO,-1,36.0,,,,,
469,SELL ORDER,29-06-2017,MICR.BO,-1,36.0,,,,,
470,SELL ORDER,30-06-2017,MICR.BO,-1,36.0,,,,,
471,SELL ORDER,03-07-2017,MICR.BO,-1,36.0,,,,,
472,SELL ORDER,04-07-2017,MICR.BO,-1,36.0,,,,,
473,SELL ORDER,05-07-2017,MICR.BO,-1,36.2,,,,,
474,SELL ORDER,06-07-2017,MICR.BO,-1,36.2,,,,,
475,SELL ORDER,07-07-2017,MICR.BO,-1,36.2,,,,,
476,SELL ORDER,10-07-2017,MICR.BO,-1,36.2,,,,,
477,SELL ORDER,11-07-2017,MICR.BO,-1,36.2,,,,,
478,SELL ORDER,12-07-2017,MICR.BO,-1,36.2,,,,,
479,SELL ORDER,13-07-2017,MICR.BO,-1,36.2,,,,,
480,SELL ORDER,14-07-2017,MICR.BO,-1,36.2,,,,,
481,SELL ORDER,17-07-2017,MICR.BO,-1,36.2,,,,,
482,SELL ORDER,18-07-2017,MICR.BO,-1,36.2,,,,,
483,SELL ORDER,19-07-2017,MICR.BO,-1,36.2,,,,,
484,SELL ORDER,20-07-2017,MICR.BO,-1,36.2,,,,,
485,SELL ORDER,21-07-2017,MICR.BO,-1,36.2,,,,,
486,SELL ORDER,24-07-2017,MICR.BO,-1,36.2,,,,,
487,SELL ORDER,25-07-2017,MICR.BO,-1,36.2,,,,,
488,SELL ORDER,26-07-2017,MICR.BO,-1,36.2,,,,,
489,SELL ORDER,27-07-2017,MICR.BO,-1,36.2,,,,,
490,SELL ORDER,28-07-2017,MICR.BO,-1,36.2,,,,,
491,SELL ORDER,31-07-2017,MICR.BO,-1,36.2,,,,,
492,SELL ORDER,01-08-2017,MICR.BO,-1,36.2,,,,,
493,SELL ORDER,02-08-2017,MICR.BO,-1,36.2,,,,,
494,SELL ORDER,03-08-2017,MICR.BO,-1,36.2,,,,,
495,SELL ORDER,04-08-2017,MICR.BO,-1,36.2,,,,,
496,SELL ORDER,07-08-2017,MICR.BO,-1,36.2,,,,,
497,SELL TRADE,08-08-2017,MICR.BO,-1,36.2,,,,,
